Title,Author,Rating,Ratings count,Reviews count,Pages,First published,Cover image,book_url,Genre
A Wizard of Earthsea,Ursula K. Le Guin,4.01,"297,996 ratings","14,198 reviews","183 pages, Paperback","First published January 1, 1968",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1353424536i/13642.jpg,https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea,Fantasy
The Battle of the Labyrinth,Rick Riordan,4.42,"988,341 ratings","29,462 reviews","361 pages, Hardcover","First published March 6, 2008",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1518607478i/2120932.jpg,https://www.goodreads.com/book/show/2120932.The_Battle_of_the_Labyrinth,Fantasy
Howl’s Moving Castle,Diana Wynne Jones,4.29,"314,116 ratings","25,734 reviews","329 pages, Mass Market Paperback","First published April 1, 1986",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630502935i/6294.jpg,https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle,Fantasy
The Subtle Knife,Philip Pullman,4.14,"422,752 ratings","12,351 reviews","370 pages, Kindle Edition","First published July 22, 1997",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1535965085i/41637836.jpg,https://www.goodreads.com/book/show/41637836-the-subtle-knife,Fantasy
Ruin and Rising,Leigh Bardugo,4.01,"473,812 ratings","50,395 reviews","350 pages, Hardcover","First published June 17, 2014",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1392398530i/14061957.jpg,https://www.goodreads.com/book/show/14061957-ruin-and-rising,Fantasy
The Hunger Games,Suzanne Collins,4.33,"8,067,062 ratings","200,121 reviews","374 pages, Hardcover","First published September 14, 2008",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052.jpg,https://www.goodreads.com/book/show/2767052-the-hunger-games,Fantasy
The Fifth Season,N.K. Jemisin,4.31,"240,500 ratings","27,481 reviews","468 pages, Paperback","First published August 4, 2015",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386803701i/19161852.jpg,https://www.goodreads.com/book/show/19161852-the-fifth-season,Fantasy
The Last Wish,Andrzej Sapkowski,4.14,"320,821 ratings","21,603 reviews","400 pages, Kindle Edition","First published January 31, 1993",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1529591917i/40603587.jpg,https://www.goodreads.com/book/show/40603587-the-last-wish,Fantasy
The Last Olympian,Rick Riordan,4.54,"909,784 ratings","34,928 reviews","381 pages, Hardcover","First published May 5, 2009",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1519022209i/4556058.jpg,https://www.goodreads.com/book/show/4556058-the-last-olympian,Fantasy
The Silmarillion,J.R.R. Tolkien,3.99,"273,288 ratings","11,871 reviews","386 pages, Hardcover","First published September 15, 1977",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1610045590i/7332.jpg,https://www.goodreads.com/book/show/7332.The_Silmarillion,Fantasy
Heir of Fire,Sarah J. Maas,4.46,"592,882 ratings","43,730 reviews","576 pages, Hardcover","First published September 2, 2014",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673566654i/76706470.jpg,https://www.goodreads.com/book/show/76706470-heir-of-fire,Fantasy
The Invisible Life of Addie LaRue,V.E. Schwab,4.21,"880,792 ratings","115,740 reviews","444 pages, Hardcover","First published October 6, 2020",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1584633432i/50623864.jpg,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,Fantasy
The Magician's Nephew,C.S. Lewis,4.05,"511,991 ratings","18,949 reviews","221 pages, Mass Market Paperback","First published May 2, 1955",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1308814770i/65605.jpg,https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew,Fantasy
