Title,Author,Rating,Ratings count,Reviews count,Pages,First published,Cover image,book_url,Genre
The Three-Body Problem,Cixin Liu,4.09,271804,25834,399,2006,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1415428227i/20518872.jpg,https://www.goodreads.com/book/show/20518872-the-three-body-problem,Science Fiction
Project Hail Mary,Andy Weir,4.52,446740,56564,476,2021,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1597695864i/54493401.jpg,https://www.goodreads.com/book/show/54493401-project-hail-mary,Science Fiction
All Systems Red,Martha Wells,4.16,185506,21565,144,2017,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631585309i/32758901.jpg,https://www.goodreads.com/book/show/32758901-all-systems-red,Science Fiction
Jurassic Park,Michael Crichton,4.09,921344,17961,466,1990,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1529604411i/40604658.jpg,https://www.goodreads.com/book/show/40604658-jurassic-park,Science Fiction
2001: A Space Odyssey,Arthur C. Clarke,4.16,302219,7952,297,1968,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432468943i/70535.jpg,https://www.goodreads.com/book/show/70535.2001,Science Fiction
Divergent,Veronica Roth,4.15,3749535,117491,487,2011,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1618526890i/13335037.jpg,https://www.goodreads.com/book/show/13335037-divergent,Science Fiction
The War of the Worlds,H.G. Wells,3.83,298167,11184,192,1897,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320391644i/8909.jpg,https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds,Science Fiction
The Handmaid’s Tale,Margaret Atwood,4.13,1916694,90591,314,1985,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447.jpg,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,Science Fiction
Hyperion,Dan Simmons,4.26,234918,11432,500,1989,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405546838i/77566.jpg,https://www.goodreads.com/book/show/77566.Hyperion,Science Fiction
The Left Hand of Darkness,Ursula K. Le Guin,4.09,165591,13866,304,1969,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1488213612i/18423.jpg,https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness,Science Fiction
Stranger in a Strange Land,Robert A. Heinlein,3.92,305029,9518,525,1961,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1156897088i/350.jpg,https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land,Science Fiction
Dark Matter,Blake Crouch,4.13,418471,49497,352,2016,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1472119680i/27833670.jpg,https://www.goodreads.com/book/show/27833670-dark-matter,Science Fiction
